"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL21A1",28.7142857142857,-3.56223834453327,0.862999020362437,-4.12774320767736,3.6634088573239e-05,0.0211425103393362
"GNGT1",14,-4.13954521335892,1.07948450667491,-3.83474259034045,0.000125695861139727,0.0490766158440852
"APOE",65.5714285714286,-3.52914699296492,0.868198784651958,-4.06490662663122,4.80516953667934e-05,0.0241749802949264
"ZNF141",215.571428571429,-5.3099558754488,0.938248620118798,-5.65943371680789,1.51873291852207e-08,4.12524660330903e-05
"IL33",244.428571428571,-4.66895069322402,0.898718936268341,-5.19511774460927,2.04590309503951e-07,0.00027747829924249
"ASGR1",18.8571428571429,-3.743387064888,0.957679159753031,-3.90881124097277,9.27513971096319e-05,0.0412088060710018
"ADAMTS10",301.857142857143,-5.96900684795431,0.766333148663665,-7.78904952547478,6.75151412058892e-15,1.73979767373456e-10
"ADAMTS16",16.4285714285714,-4.80734556374067,1.25042176167111,-3.84457925405582,0.000120759453174696,0.0484758782088628
"DPYSL4",41.4285714285714,-4.24964615045363,0.973269944244601,-4.36635917463986,1.26334674946581e-05,0.0105016717377369
"DRAXIN",97.8571428571429,-3.16081867030043,0.82030072954333,-3.85324376349159,0.000116563239791141,0.0484758782088628
"LZTFL1",282.857142857143,-5.42378986063684,0.806556470462914,-6.72462506874927,1.7604515195377e-11,1.4861721667815e-07
"C9orf64",49.7142857142857,-4.99434801707695,0.888147748858984,-5.62333015367461,1.87310922600817e-08,4.3880137859095e-05
"ANPEP",22.7142857142857,-5.2853942586282,1.1211828957051,-4.71412316302263,2.42753805595084e-06,0.0024059703139922
"ZNF528",54.2857142857143,-3.54117566725195,0.921451809848293,-3.84303946164582,0.000121519920377566,0.0484758782088628
"MACROD2",73.2857142857143,-3.64584009709537,0.85408846126705,-4.26869143236841,1.96623042224514e-05,0.01447651192881
"RHOD",241.714285714286,-3.79037194073047,0.794180743294862,-4.77268175126627,1.81788928925684e-06,0.00195188287895248
"ADGRE1",45.2857142857143,-3.72631339744787,0.906408645346481,-4.11107442165169,3.93822226818324e-05,0.0211425103393362
"PRR26",39.8571428571429,-6.10851604774426,1.08107894922736,-5.65038848653003,1.60085630148979e-08,4.12524660330903e-05
"AMIGO1",44.5714285714286,-3.45285428289851,0.89882562861031,-3.84151739001594,0.000122276071387174,0.0484758782088628
"CHST6",22.5714285714286,-3.81377649879263,0.929757278770149,-4.10190550359269,4.09761625858052e-05,0.0215492802790533
"ZNF730",30.5714285714286,-5.72109042802197,1.12977884217269,-5.06390296442417,4.10758784287456e-07,0.000529242155615173
"ZNF829",14.4285714285714,-4.61470285400743,1.12247360981512,-4.11119051143441,3.93624238539673e-05,0.0211425103393362
"HMX2",15.4285714285714,-4.71423849653091,1.11477955849477,-4.22885265576301,2.34886108930269e-05,0.0157520025777861
"BEND4",78.7142857142857,-3.38112971933428,0.803142909610946,-4.20987308593952,2.55514179853749e-05,0.0163630202031405
"NUDT11",366.714285714286,-4.69985519606103,0.866339716582765,-5.42495640693859,5.79686859107794e-08,9.51310147438058e-05
"ZNF429",16,-4.76817658477918,1.15643757851434,-4.12315949720763,3.73710736289682e-05,0.0211425103393362
"CARD11",87.2857142857143,-7.247917483393,1.08418206283685,-6.68514793947819,2.30691476856922e-11,1.4861721667815e-07
"ZNF69",27.2857142857143,-5.55458086797444,1.0999162963282,-5.05000324708075,4.41802554674995e-07,0.000542133811019997
"ZNF726",19.1428571428571,-5.03341528088449,1.12937826026418,-4.45680199272396,8.31913774463468e-06,0.00739227105315486
"ADAMTS7P4",12.4285714285714,-4.39231062781522,1.13186434491815,-3.88059810129706,0.000104199904456792,0.0447521222991178
"RP11.364L4.1",20.5714285714286,-3.49184927149093,0.86903375128829,-4.01808245803397,5.8673666428396e-05,0.0274902129126061
"TMEM254.AS1",14,-4.56984859371806,1.1286449324522,-4.04896922169242,5.14437089502685e-05,0.0246662632706804
"RP11.384F7.1",91.5714285714286,-3.61390912206071,0.85525946146956,-4.22551200527038,2.38398114220055e-05,0.0157520025777861
"C4orf48",45.4285714285714,-2.95751358529011,0.76093205094935,-3.88669866330413,0.000101616768146298,0.0443824152264736
"EPHB6.1",48,-5.13954565537576,0.907958511178111,-5.66055121693501,1.50887546565882e-08,4.12524660330903e-05
"TRBC2.1",16.1428571428571,-4.7813516853199,1.17299129021401,-4.076203911495,4.57768796614565e-05,0.0235924882399214
